,date,country,Continent,gdppc,inflation,poverty,mortality,giniindex,unemployment,netMig,refugee,life_exp,electAccess,totalpop,urbanpop,surface,CO2,precipitation,densitypop,migrationtclass
0,2021,Afghanistan,Asia,1516.3056669773,6.124619936291188,42.166666666666664,72.88943661971831,37.134596554044734,6.996000051498422,-183672.0,66949.0,47.6844262295082,52.520487387975066,40099462.0,10551772.0,652860.0,3182.0000168482457,327.0,61.42122660294703,Emigration
1,2020,Afghanistan,Asia,1968.34100152116,6.124619936291188,42.166666666666664,58.0,37.134596554044734,11.710000038147,166821.0,72278.0,62.575,97.6999969482422,38972230.0,10142913.0,652860.0,3182.0000168482457,327.0,59.69462059247005,Immigration
2,2019,Afghanistan,Asia,2079.92186098824,2.30237251516844,42.166666666666664,60.1,37.134596554044734,6.996000051498422,-8082.0,72227.0,63.565,97.6999969482422,37769499.0,9727157.0,652860.0,6079.99992370605,327.0,57.85237110559691,Emigration
3,2018,Afghanistan,Asia,2060.69897292797,0.626149149168811,42.166666666666664,62.3,37.134596554044734,6.996000051498422,-47205.0,72228.0,63.081,96.6161346435547,36686784.0,9353296.0,652860.0,6070.00017166138,327.0,56.193952761694696,Emigration
4,2017,Afghanistan,Asia,2096.09311055337,4.9759515055383,42.166666666666664,64.8,37.134596554044734,11.1800003051758,-47090.0,75927.0,63.016,97.6999969482422,35643418.0,8999963.0,652860.0,4780.00020980835,327.0,54.59580614526851,Emigration
5,2016,Afghanistan,Asia,2101.42218654807,4.38389195513914,54.5,67.5,37.134596554044734,6.996000051498422,-90238.0,59770.0,63.136,97.6999969482422,34636207.0,8665979.0,652860.0,5300.00019073486,327.0,53.05303893637227,Emigration
6,2015,Afghanistan,Asia,2108.71417281186,-0.661709164713696,42.166666666666664,70.4,37.134596554044734,6.996000051498422,-281739.0,257553.0,62.659,71.5,33753499.0,8371880.0,652860.0,5949.99980926514,327.0,51.700975706889686,Emigration
7,2014,Afghanistan,Asia,2144.44963352063,4.67399603536339,42.166666666666664,73.6,37.134596554044734,7.90999984741211,255611.0,300421.0,62.545,89.5,32716210.0,8043935.0,652860.0,4880.00011444092,327.0,50.112137364825536,Immigration
8,2013,Afghanistan,Asia,2165.3409147556,7.38577178397857,42.166666666666664,76.9,37.134596554044734,6.996000051498422,48076.0,16861.0,62.417,68.2906494140625,31541209.0,7687539.0,652860.0,5989.99977111816,327.0,48.31236252795392,Immigration
9,2012,Afghanistan,Asia,2122.83075870676,6.44121280934118,42.166666666666664,80.3,37.134596554044734,1.69000005722046,105905.0,16184.0,61.923,69.0999984741211,30466479.0,7360701.0,652860.0,8079.99992370605,327.0,46.66617498391692,Immigration
10,2011,Afghanistan,Asia,1961.09631655741,11.8041858089129,38.3,84.0,37.134596554044734,6.996000051498422,418796.0,3011.0,61.419,43.2220191955566,29249157.0,7004588.0,652860.0,8930.00030517578,327.0,44.80157614189872,Immigration
11,2010,Afghanistan,Asia,2026.16381797997,2.1785375238942,42.166666666666664,87.8,37.134596554044734,6.996000051498422,-141355.0,6434.0,60.851,42.7000007629395,28189672.0,6691382.0,652860.0,7110.0001335144,327.0,43.1787396991698,Emigration
12,2009,Afghanistan,Asia,1823.74261448512,-6.81116108898995,42.166666666666664,91.7,37.134596554044734,6.996000051498422,-58881.0,36.0,60.364,46.7400512695313,27385307.0,6443215.0,652860.0,4880.00011444092,327.0,41.94667616334283,Emigration
13,2008,Afghanistan,Asia,1556.84445154502,26.4186641547444,42.166666666666664,95.7,37.134596554044734,2.49000000953674,221000.0,37.0,59.852,42.4000015258789,26427199.0,6162823.0,652860.0,3559.99994277954,327.0,40.479121097938304,Immigration
14,2007,Afghanistan,Asia,1528.34457777944,8.68057078513406,33.7,99.9,37.134596554044734,6.996000051498422,-942887.0,43.0,59.111,36.0510101318359,25903301.0,5987030.0,652860.0,1769.99998092651,327.0,39.676655025579755,Emigration
15,2006,Afghanistan,Asia,1366.99314578093,6.78459655001657,42.166666666666664,104.1,37.134596554044734,6.996000051498422,62684.0,34.0,58.684,30.7186908721924,25442944.0,5828215.0,652860.0,1759.99999046326,327.0,38.97151609839782,Immigration
16,2005,Afghanistan,Asia,1352.3206265475,12.6862687216715,42.166666666666664,108.4,37.134596554044734,6.996000051498422,252185.0,31.0,58.361,25.3908939361572,24411191.0,5542073.0,652860.0,1549.99995231628,327.0,37.39115736911436,Immigration
17,2004,Afghanistan,Asia,1260.06058051982,6.124619936291188,42.166666666666664,112.6,37.134596554044734,6.996000051498422,-248616.0,31.0,57.944,20.0649681091309,23553551.0,5299549.0,652860.0,1029.99997138977,327.0,36.077491345770916,Emigration
18,2003,Afghanistan,Asia,1292.33343722938,6.124619936291188,42.166666666666664,116.9,37.134596554044734,6.996000051498422,388632.0,24.0,57.344,14.7385063171387,22645130.0,5061866.0,652860.0,1220.00002861023,327.0,34.68604294948381,Immigration
19,2002,Afghanistan,Asia,1280.46317065778,6.124619936291188,42.166666666666664,121.1,37.134596554044734,6.996000051498422,1327074.0,41780.57142857143,56.454,9.40915775299072,21000256.0,4674867.0,652860.0,1029.99997138977,327.0,32.166553319241494,Immigration
20,2001,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,125.2,37.134596554044734,6.996000051498422,-192286.0,10.0,55.798,4.07457399368286,19688632.0,4364773.0,652860.0,730.0,327.0,30.15751003277885,Emigration
21,2000,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,129.2,37.134596554044734,6.996000051498422,-1007135.0,41780.57142857143,55.298,1.61359095573425,19542982.0,4314700.0,652860.0,760.0,327.0,29.934414729038384,Emigration
22,1999,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,133.2,37.134596554044734,6.996000051498422,85758.0,41780.57142857143,54.846,52.520487387975066,19262847.0,4235130.0,652860.0,810.0,327.0,29.505325797261282,Immigration
23,1998,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,137.3,37.134596554044734,6.996000051498422,35740.0,41780.57142857143,52.943,52.520487387975066,18493132.0,4049071.0,652860.0,1040.0,327.0,28.326336427411697,Immigration
24,1997,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,141.5,37.134596554044734,6.996000051498422,6129.0,5.0,53.634,52.520487387975066,17788819.0,3878852.0,652860.0,1100.0,327.0,27.247524737309682,Immigration
25,1996,Afghanistan,Asia,1790.6240509196664,6.124619936291188,42.166666666666664,146.0,37.134596554044734,6.996000051498422,27194.0,18779.0,53.243,52.520487387975066,17106595.0,3714526.0,652860.0,1180.0,327.0,26.202547253622523,Immigration
